id;wkt_a;wkt_b;real_result_polygon_count;real_result_area;epeck_result_polygon_count;epeck_result_area;bg_polygon_count;bg_area;real_error_area;epeck_error_area;status
case_105_union; POLYGON((0 0,0 10,10 10,10 0,0 0),(3 3,7 3,7 7,3 7,3 3)); POLYGON((0 0,0 10,10 10,10 0,0 0),(1 5,2 4,3 5,2 6,1 5),(4 2,5 1,6 2,5 3,4 2),(4 8,5 7,6 8,5 9,4 8),(7 5,8 4,9 5,8 6,7 5)); 1; 100.; 1; 100; 1; 100; 0; 0; OK
case_106_union; POLYGON((5 5,5 10,10 10,10 5,5 5),(9 8,7 9,5 8,7 7,9 8)); POLYGON((0 3,6 3,6 9,0 9,0 3)); 1; 53.5000; 1; 53.5; 1; 53.5; 0; 0; OK
case_107_union; POLYGON((5 5,5 10,10 10,10 5,5 5),(9 8,7 9,5 8,7 7,9 8)); POLYGON((0 3,6 3,6 9,0 9,0 3),(2 6,4 7,6 6,4 5,2 6)); 1; 50.; 1; 50; 1; 50; 0; 0; OK
case_108_union; POLYGON((0 1,0 2,1 2,1 3,2 3,2 2,3 2,3 1,2 1,2 0,1 0,1 1,0 1)); POLYGON((1 1,1 2,2 2,2 1,1 1)); 1; 5.; 1; 5; 1; 5; 0; 0; OK
case_many_situations_union; POLYGON((2 6,2 14,10 18,18 14,18 6,16 5,14 4,12 3,10 2,8 3,6 4,4 5,2 6)); POLYGON((2 6,2 7,2 8,2 9,2 10,2 11,2 12,1 14,4 14,4 15,7 15,7 18,8 17,9 20,10 18,10 15.5,11 17.5,12 17,11 15,12 14.5,13 16.5,14 18.5,15 18,14 16,15 15.5,16 17.5,18 14,19 13,17 11,19 9,19 7,17 5,16 5,15 4.5,13 3.5,11 2.5,10 2,8 3,6 4,4 5,2 6)); 1; 207.; 1; 207; 1; 207; 0; 0; OK
collinear_overlaps_union; POLYGON((0 2,0 4,2 4,2 5,0 5,0 7,2 7,2 8,6 8,6 7,8 7,8 5,6 5,6 4,8 4,8 2,6 2,6 1,2 1,2 2,0 2)); POLYGON((3 0,3 2,1 2,1 3,3 3,3 4,1 4,1 5,3 5,3 6,1 6,1 7,3 7,3 9,5 9,5 7,7 7,7 6,5 6,5 5,7 5,7 4,5 4,5 3,7 3,7 2,5 2,5 0,3 0)); 1; 50.; 1; 50; 1; 50; 0; 0; OK
simplex_spike_union; POLYGON((0 1,2 5,5 3,0 1)); POLYGON((4 0,0 3,4 5,4 2,6 5,4 2,4 0)); -1; -1; -1; -1; -1; -1; -1; -1; CGAL ERROR: precondition violation!Expr: is_valid_unknown_polygon(p, t)File: /usr/include/CGAL/General_polygon_set_on_surface_2.hLine: 40
line_line1_union; LINESTRING(0 1,2 5,5 3); LINESTRING(3 0,0 3,4 5); -1; -1; -1; -1; -1; -1; -1; -1; 134
pie_23_16_16_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,1309 1812,1171 2144,1125 2499,1171 2855,1309 3187,1527 3472,1812 3690,2500 2500)); POLYGON((2500 2500,1525 1937,1413 2208,1375 2499,1413 2791,1525 3062,1704 3295,1937 3474,2208 3586,2499 3625,2791 3586,3062 3474,3295 3295,3474 3062,3586 2791,3625 2500,3586 2208,2500 2500)); 1; 5.71047e+6; 1; 5.71047e+06; 1; 5.71047e+06; 0; 3.99092e-13; OK
pie_16_4_12_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,2500 2500)); POLYGON((2500 2500,2500 1375,2208 1413,1937 1525,1704 1704,2500 2500)); 1; 3.66967e+6; 1; 3.66967e+06; 1; 3.66967e+06; 0; 0; OK
pie_4_13_15_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,2500 2500)); POLYGON((2500 2500,1704 1704,1525 1937,1413 2208,1375 2499,1413 2791,1525 3062,1704 3295,1937 3474,2208 3586,2499 3625,2791 3586,3062 3474,3295 3295,2500 2500)); 1; 2.20812e+6; 1; 2.20812e+06; 1; 2.20812e+06; 0; 6.22942e-14; OK
pie_16_2_15_0_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,2500 2500)); POLYGON((2500 2500,1704 1704,1525 1937,2500 2500)); 1; 3.83364e+6; 1; 3.83364e+06; 1; 3.83364e+06; 0; 0; OK
pie_2_3_23_0_union; POLYGON((2500 2500,2855 3828,2500 3875,2500 2500)); POLYGON((2500 2500,2791 3586,2499 3625,2208 3586,2500 2500)); 1; 4.08707e+5; 1; 408707; 1; 408707; 0; 2.27967e-11; OK
pie_20_20_7_100_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,1309 1812,1171 2144,1125 2499,1171 2855,2500 2500)); POLYGON((2500 2600,3586 2308,3474 2037,3295 1804,3062 1625,2791 1513,2499 1475,2208 1513,1937 1625,1704 1804,1525 2037,1413 2308,1375 2600,1413 2891,1525 3162,1704 3395,1937 3574,2208 3686,2499 3725,2791 3686,3062 3574,2500 2600)); 1; 5.57716e+6; 1; 5.57716e+06; 1; 5.57716e+06; 0; 3.00678e-11; OK
pie_23_23_3_2000_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,1309 1812,1171 2144,1125 2499,1171 2855,1309 3187,1527 3472,1812 3690,2500 2500)); POLYGON((2500 3500,3295 4295,3474 4062,3586 3791,3625 3500,3586 3208,3474 2937,3295 2704,3062 2525,2791 2413,2499 2375,2208 2413,1937 2525,1704 2704,1525 2937,1413 3208,1375 3500,1413 3791,1525 4062,1704 4295,1937 4474,2208 4586,2499 4625,2791 4586,2500 3500)); 1; 7.11874e+6; 1; 7.11874e+06; 1; 7.11874e+06; 0; 7.67978e-11; OK
pie_23_21_12_500_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,3828 2855,3875 2500,3828 2144,3690 1812,3472 1527,3187 1309,2855 1171,2499 1125,2144 1171,1812 1309,1527 1527,1309 1812,1171 2144,1125 2499,1171 2855,1309 3187,1527 3472,1812 3690,2500 2500)); POLYGON((2500 3000,2500 1875,2208 1913,1937 2025,1704 2204,1525 2437,1413 2708,1375 3000,1413 3291,1525 3562,1704 3795,1937 3974,2208 4086,2499 4125,2791 4086,3062 3974,3295 3795,3474 3562,3586 3291,3625 3000,3586 2708,3474 2437,2500 3000)); 1; 6.29552e+6; 1; 6.29552e+06; 1; 6.29552e+06; 0; 5.59893e-12; OK
pie_5_12_12_0_7s_union; POLYGON((2500 2500,2500 3875,2855 3828,3187 3690,3472 3472,3690 3187,2500 2500)); POLYGON((2500 2500,2500 1375,2208 1413,1937 1525,1704 1704,1525 1937,1413 2208,1375 2500,1413 2791,1525 3062,1704 3295,1937 3474,2208 3586,2500 2500,2791 3586,3062 3474,3295 3295,3474 3062,3586 2791,3625 2500,3586 2208,2500 2500)); -1; -1; -1; -1; -1; -1; -1; -1; CGAL ERROR: precondition violation!Expr: is_valid_unknown_polygon(p, t)File: /usr/include/CGAL/General_polygon_set_on_surface_2.hLine: 40
hv_1_union; POLYGON((24.995166778564453 50.011310577392578,46.630809783935547 37.494682312011719,46.661380767822266 12.499360084533691,25.003841400146484 0.020658308640122414,3.3419711589813232 12.491842269897461,3.3638687133789062 37.487174987792969,24.995166778564453 50.011310577392578)); POLYGON((25.025228500366211 49.992599487304688,46.6719970703125 37.482185363769531,46.631874084472656 12.480358123779297,24.974153518676758 -0.011088892817497253,3.3419976234436035 12.524576187133789,3.3529467582702637 37.526435852050781,25.025228500366211 49.992599487304688)); 1; 1624.51; 1; 1624.51; 1; 1624.51; 0; 4.25004e-14; OK
hv_2_union; POLYGON((24.988700866699219 49.986705780029297,46.643772125244141 37.5079345703125,46.645118713378906 12.514699935913086,25.010652542114258 0.00024537215358577669,3.3652000427246094 12.495694160461426,3.3445985317230225 37.488922119140625,24.988700866699219 49.986705780029297)); POLYGON((24.993022918701172 49.977996826171875,46.643772125244141 37.503200531005859,46.634654998779297 12.51569938659668,25.005790710449219 0.0029967525042593479,3.3705389499664307 12.504646301269531,3.348651647567749 37.492141723632812,24.993022918701172 49.977996826171875)); 1; 1622.92; 1; 1622.92; 1; 1622.92; 0; 1.5842e-14; OK
hv_3_union; POLYGON((25.007728576660156 49.988899230957031,46.667163848876953 37.501667022705078,46.637229919433594 12.500443458557129,24.993251800537109 -0.01356174610555172,3.3565254211425781 12.512973785400391,3.3410670757293701 37.514209747314453,25.007728576660156 49.988899230957031)); POLYGON((24.998353958129883 49.993511199951172,46.659591674804688 37.507373809814453,46.646518707275391 12.505118370056152,25.002584457397461 -0.0109936548396945,3.3565335273742676 12.501456260681152,3.3392288684844971 37.503707885742188,24.998353958129883 49.993511199951172)); 1; 1624.22; 1; 1624.22; 1; 1624.22; 0; 6.01668e-14; OK
hv_4_union; POLYGON((25.009130477905273 50.022209167480469,46.670387268066406 37.500617980957031,46.666873931884766 12.480625152587891,24.992231369018555 -0.017777863889932632,3.3260366916656494 12.495262145996094,3.3394229412078857 37.515254974365234,25.009130477905273 50.022209167480469)); POLYGON((25.00263786315918 50.019630432128906,46.669231414794922 37.507579803466797,46.666202545166016 12.487733840942383,24.997152328491211 -0.020060751587152481,3.3308455944061279 12.492485046386719,3.3333024978637695 37.5123291015625,25.00263786315918 50.019630432128906)); 1; 1626.51; 1; 1626.51; 1; 1626.51; 0; 4.83677e-14; OK
hv_5_union; POLYGON((24.987522125244141 49.997768402099609,46.643741607666016 37.509471893310547,46.654956817626953 12.510490417480469,25.011669158935547 -0.00019846600480377674,3.3563058376312256 12.489578247070313,3.3433761596679687 37.488559722900391,24.987522125244141 49.997768402099609)); POLYGON((25.005760192871094 50.008182525634766,46.648590087890625 37.491542816162109,46.655918121337891 12.489977836608887,24.994773864746094 0.0050580352544784546,3.3391191959381104 12.499494552612305,3.3574333190917969 37.501052856445312,25.005760192871094 50.008182525634766)); 1; 1624.22; 1; 1624.22; 1; 1624.22; 0; 1.31964e-13; OK
hv_6_union; POLYGON((25.011470794677734 50.017532348632813,42.678981781005859 42.661365509033203,50.017532348632813 24.986530303955078,42.661365509033203 7.3190178871154785,24.986530303955078 -0.019533095881342888,7.3190178871154785 7.336634635925293,-0.019533095881342888 25.011470794677734,7.336634635925293 42.678981781005859,25.011470794677734 50.017532348632813)); POLYGON((25.002880096435547 50.013965606689453,46.671913146972656 37.507381439208984,46.660655975341797 12.488155364990234,24.9951171875 -0.024483053013682365,3.3334629535675049 12.494877815246582,3.3299689292907715 37.514102935791016,25.002880096435547 50.013965606689453)); 1; 1790.09; 1; 1790.09; 1; 1790.09; 0; 7.27307e-14; OK
hv_7_union; POLYGON((24.983684539794922 49.995647430419922,46.643482208251953 37.513137817382813,46.654392242431641 12.51393985748291,25.014318466186523 -0.0027416276279836893,3.3589246273040771 12.487411499023438,3.3391971588134766 37.486602783203125,24.983684539794922 49.995647430419922)); POLYGON((24.990163803100586 49.9993896484375,46.655281066894531 37.512466430664062,46.654388427734375 12.506458282470703,25.007841110229492 -0.012621366418898106,3.3524465560913086 12.491152763366699,3.3338801860809326 37.497154235839844,24.990163803100586 49.9993896484375)); 1; 1624.58; 1; 1624.58; 1; 1624.58; 0; 4.98416e-14; OK
dz_1_union; POLYGON((30.526203155517578 56.781166076660156,38.987510681152344 58.710700988769531,41.042613983154297 50.279010772705078,48.390048980712891 45.660350799560547,43.881126403808594 38.245067596435547,45.810657501220703 29.783760070800781,37.378971099853516 27.728654861450195,32.760307312011719 20.381219863891602,25.345026016235352 24.890144348144531,16.883718490600586 22.960611343383789,14.828612327575684 31.392299652099609,7.481177806854248 36.010959625244141,11.990103721618652 43.426242828369141,10.060568809509277 51.887550354003906,18.492258071899414 53.942657470703125,23.110919952392578 61.290092468261719,30.526203155517578 56.781166076660156)); POLYGON((12.580197334289551 33.274467468261719,14.852641105651855 24.577714920043945,21.524574279785156 30.601236343383789,18.734457015991211 22.056488037109375,27.603805541992188 23.51667594909668,20.636968612670898 17.836828231811523,28.887777328491211 14.270085334777832,19.956142425537109 13.258448600769043,24.968837738037109 5.7971897125244141,16.908138275146484 9.7749528884887695,17.091224670410156 0.78807485103607178,12.460672378540039 8.4923257827758789,7.7560214996337891 0.83309894800186157,8.0257854461669922 9.8177928924560547,-0.072908863425254822 5.9179673194885254,5.0115232467651367 13.330527305603027,-3.9099369049072266 14.42827033996582,4.3748917579650879 17.915260314941406,-2.5368332862854004 23.662046432495117,6.3180174827575684 22.116373062133789,3.6104514598846436 30.687637329101563,10.223971366882324 24.600040435791016,12.580197334289551 33.274467468261719)); 1; 1444.26; 1; 1444.26; 1; 1444.26; 0; 5.1185e-14; OK
dz_2_union; POLYGON((24.587966918945313 61.027225494384766,32.1783447265625 62.988296508789063,34.655326843261719 55.550270080566406,41.730445861816406 52.173538208007812,38.846851348876953 44.883510589599609,42.096187591552734 37.748981475830078,35.201282501220703 34.018035888671875,33.104434967041016 26.46403694152832,25.42442512512207 28.037921905517578,18.962528228759766 23.599054336547852,14.090974807739258 29.741334915161133,6.2876262664794922 30.494592666625977,6.5039811134338379 38.331226348876953,1.0104535818099976 43.924152374267578,6.2134823799133301 49.788291931152344,5.6002583503723145 57.603889465332031,13.355405807495117 58.751640319824219,17.909420013427734 65.132911682128906,24.587966918945313 61.027225494384766)); POLYGON((43.551433563232422 47.905071258544922,46.384872436523438 39.57366943359375,53.589195251464844 44.627212524414063,50.984420776367188 36.221515655517578,59.783241271972656 36.075325012207031,52.735191345214844 30.806018829345703,59.767654418945313 25.51593017578125,50.968441009521484 25.395713806152344,53.548389434814453 16.982362747192383,46.359016418457031 22.057153701782227,43.500991821289063 13.734155654907227,40.667552947998047 22.065553665161133,33.463230133056641 17.012012481689453,36.068000793457031 25.417709350585938,27.269184112548828 25.563901901245117,34.317234039306641 30.833206176757812,27.284770965576172 36.123294830322266,36.083980560302734 36.243511199951172,33.504035949707031 44.6568603515625,40.693408966064453 39.582073211669922,43.551433563232422 47.905071258544922)); 1; 1505.42; 1; 1505.42; 1; 1505.42; 0; 2.19931e-14; OK
dz_3_union; POLYGON((20.813335418701172 73.060707092285156,22.815366744995117 61.968788146972656,31.383756637573242 69.291458129882813,28.001794815063477 58.539661407470703,38.991741180419922 61.041633605957031,31.000555038452148 53.093067169189453,41.894393920898437 50.201171875,31.124666213989258 46.876754760742188,39.426750183105469 39.253490447998047,28.345697402954102 41.314804077148438,32.154121398925781 30.706569671630859,23.300275802612305 37.681396484375,21.742572784423828 26.518407821655273,17.144247055053711 36.808895111083984,10.5772705078125 27.648460388183594,11.287883758544922 38.897186279296875,1.2160475254058838 33.837848663330078,7.0728073120117187 43.467861175537109,-4.1965517997741699 43.668655395507812,5.4646410942077637 49.473834991455078,-4.4205660820007324 54.888763427734375,6.8317971229553223 55.539215087890625,0.59532338380813599 64.927780151367187,10.861076354980469 60.274494171142578,9.7020368576049805 71.485885620117188,16.629419326782227 62.594875335693359,20.813335418701172 73.060707092285156)); POLYGON((1.6459450721740723 46.720386505126953,10.693820953369141 61.892372131347656,7.2385158538818359 44.568569183349609,23.921955108642578 50.3751220703125,10.139513969421387 39.325347900390625,26.652151107788086 33.049518585205078,8.9915294647216797 33.444084167480469,17.606916427612305 18.02239990234375,4.3317174911499023 29.676681518554687,1.0186206102371216 12.32512378692627,-1.6595441102981567 29.785955429077148,-15.35089111328125 18.623508453369141,-6.1788778305053711 33.720771789550781,-23.842140197753906 33.970470428466797,-7.1116366386413574 39.639987945556641,-20.481979370117188 51.184993743896484,-4.0213727951049805 44.773937225341797,-6.8426628112792969 62.212215423583984,1.6459450721740723 46.720386505126953)); 1; 1446.50; 1; 1446.5; 1; 1446.5; 0; 9.43246e-14; OK
dz_4_union; POLYGON((36.179050445556641 50.613166809082031,40.804176330566406 39.819438934326172,52.211421966552734 42.607097625732422,48.816398620605469 31.365650177001953,59.346733093261719 26.168684005737305,49.520126342773438 19.73951530456543,54.246284484863281 8.9896402359008789,42.586078643798828 10.381030082702637,39.296642303466797 -0.89176815748214722,31.258771896362305 7.6691346168518066,21.492900848388672 1.1480809450149536,20.83837890625 12.87275505065918,9.1656351089477539 14.154719352722168,16.200717926025391 23.557058334350586,8.0829076766967773 32.042194366455078,19.515800476074219 34.722743988037109,18.751338958740234 46.440761566162109,29.232465744018555 41.145256042480469,36.179050445556641 50.613166809082031)); POLYGON((20.486696243286133 60.650150299072266,24.282432556152344 49.304500579833984,34.362251281738281 55.748767852783203,30.764263153076172 44.3388671875,42.706855773925781 43.627620697021484,33.089447021484375 36.511661529541016,42.333145141601563 28.916570663452148,30.369846343994141 28.81260871887207,33.383872985839844 17.234743118286133,23.644252777099609 24.182485580444336,19.277351379394531 13.044195175170898,15.48161506652832 24.389842987060547,5.40179443359375 17.945577621459961,8.9997835159301758 29.355476379394531,-2.9428071975708008 30.06672477722168,6.6745977401733398 37.182682037353516,-2.5690991878509521 44.777774810791016,9.394200325012207 44.881736755371094,6.3801741600036621 56.459602355957031,16.119794845581055 49.511859893798828,20.486696243286133 60.650150299072266)); 1; 1871.61; 1; 1871.61; 1; 1871.61; 0; 2.72484e-14; OK
case_precision_1_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4.000005 2.99999,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 1.61423e-22; OK
case_precision_2_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 2.999995,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_3_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4.0000001 2.99999995,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 8.22677e-24; OK
case_precision_4_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3.00000001,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_5_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3,2.0000005 2.9999995,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 2.33173e-16; OK
case_precision_6_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,2 8,2 7,2 3,4.0000005 2.9999995,4 7,4 8,8 8,8 -1,-1 -1)); 1; 71.0000; 1; 71; 1; 71; 0; 5.27252e-23; OK
case_precision_7_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3.00000002,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_8_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4.00000006 3.00000009,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 0; OK
case_precision_9_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,3.99999 2.999995,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 4.1077e-16; OK
case_precision_10_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4.000006 2.999991,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 5.49658e-22; OK
case_precision_11_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4.00000000000000089 2.99999999999999201,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 3.54987e-30; OK
case_precision_12_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((1 1,2.99999999999999731e-12 1.00000000001,2.99999999999999731e-12 3.00000000001,1 3,1 1)); 1; 14.; 1; 14; 1; 14; 0; 0; OK
case_precision_13_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((1 1,9.99999999999999912e-06 1,9.99999999999999912e-06 3,1 3,1 1)); 1; 14.; 1; 14; 1; 14; 0; 0; OK
case_precision_14_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4.00000079999999958 3.00000020000000012,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_15_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,3.99999599999999988 3.00000499999999981,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 0; OK
case_precision_16_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4 2.99999940000000009,4 7,2 7)); 1; 73.; 1; 73; 1; 73; 0; 0; OK
case_precision_17_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4 3.00000499999999999,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 0; OK
case_precision_18_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2.00000199999999984 3.00000400000000012,4 3,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 0; OK
case_precision_19_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,1.99999199999999999 2.99999400000000005,4 3,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 2.8593e-17; OK
case_precision_20_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3,2.00000000000000044 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 8.88178e-16; OK
case_precision_21_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3.00001000000000007,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_22_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,4.00000000200000017 2.99999999000000006,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 1e-17; OK
case_precision_23_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,3.99998999999999993 2.99998999999999993,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 1.29136e-16; OK
case_precision_24_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3.000001,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_25_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((2 7,4 7,4 3.00001,2 3,2 7)); 1; 22.0000; 1; 22; 1; 22; 0; 0; OK
case_precision_26_union; POLYGON((0 0,0 4,2 4,2 3,4 3,4 0,0 0)); POLYGON((-1 -1,-1 8,8 8,8 -1,-1 -1),(2 7,2 3,3.999991 2.999991,4 7,2 7)); 1; 73.0000; 1; 73; 1; 73; 0; 1.38885e-16; OK
